kind,rule_id,rule_name,total_lineage_occurrences,queries_with_rule,query_frequency_percent,max_occurrences_in_one_query
transformation,0,JoinCommutativity,594,517,51.70,4
transformation,1,JoinAssociativity,75,29,2.90,4
transformation,2,FilterSplit,70,42,4.20,5
transformation,3,FilterMerge,7,7,0.70,1
transformation,5,FilterPushdownThroughJoin,469,191,19.10,5
transformation,6,InToOrChain,158,153,15.30,3
transformation,7,FilterToJoinPredicate,27,23,2.30,2
transformation,8,CrossJoinToJoin,82,82,8.20,1
transformation,9,FilterLiftThroughJoin,40,19,1.90,4
transformation,10,ProjectionPushdownThroughJoin,106,30,3.00,7
transformation,11,OuterJoinToInner,101,91,9.10,2
implementation,0,ImplementTable,1977,1000,100.00,3
implementation,1,ImplementFilter,531,487,48.70,2
implementation,3,ImplementProjection,1038,1000,100.00,4
implementation,4,ImplementJoin,156,153,15.30,2
implementation,5,ImplementCrossJoin,157,145,14.50,2
implementation,6,ImplementHashJoin,171,162,16.20,2
implementation,7,ImplementMergeJoin,493,394,39.40,2
implementation,8,ImplementAggregation,319,319,31.90,1
enforcer,0,SortEnforcer,1494,706,70.60,6
